"('Skid Row/ Great White', '/bands/skid-row-great-white')","('1 concerts', None)",Skid Row
"('Winger/WARRANT/Skid Row ""LiveToRockTour2022""', '/bands/winger-warrant-skid-row-livetorocktour2022')","('1 concerts', None)",Skid Row
"('Monkey Business - Trib. to Skid Row', '/bands/monkey-business-trib-to-skid-row')","('1 concerts', None)",Skid Row
"('The Academy Is...', '/bands/the-academy-is--2')","('724 concerts', None)",The Academy Is…
"('The Academy Is…', '/bands/the-academy-is')","('70 concerts', None)",The Academy Is…
"('The Academy Is', '/bands/the-academy-is--3')","('41 concerts', None)",The Academy Is…
"('Tyler, The Creator', '/bands/tyler-the-creator--4')","('506 concerts', None)","Tyler,Tyler"
"('Tyler The Creator', '/bands/tyler-the-creator--2')","('141 concerts', None)","Tyler,Tyler"
"('Tyler Childers', '/bands/tyler-childers')","('415 concerts', None)","Tyler,Tyler"
"('Tyler Farr', '/bands/tyler-farr')","('589 concerts', None)","Tyler,Tyler"
"('Tyler Bryant & the Shakedown', '/bands/tyler-bryant-the-shakedown--3')","('449 concerts', None)","Tyler,Tyler"
"('Tyler Hilton', '/bands/tyler-hilton')","('632 concerts', None)","Tyler,Tyler"
"('William Tyler', '/bands/william-tyler')","('226 concerts', None)","Tyler,Tyler"
"('Tyler Shaw', '/bands/tyler-shaw')","('98 concerts', None)","Tyler,Tyler"
"('Tyler Rich', '/bands/tyler-rich')","('156 concerts', None)","Tyler,Tyler"
"('Tyler Carter', '/bands/tyler-carter')","('61 concerts', None)","Tyler,Tyler"
"('Tyler Ward', '/bands/tyler-ward')","('134 concerts', None)","Tyler,Tyler"
"('Jonathan Tyler', '/bands/jonathan-tyler')","('68 concerts', None)","Tyler,Tyler"
"('Tyler Hubbard', '/bands/tyler-hubbard-88eaeaaf-22fb-47de-8d69-c833bb1e2300')","('29 concerts', None)","Tyler,Tyler"
"('Tyler Braden', '/bands/tyler-braden')","('78 concerts', None)","Tyler,Tyler"
"('Steven Tyler', '/bands/steven-tyler')","('77 concerts', None)","Tyler,Tyler"
"('Jonathan Tyler & The Northern Lights', '/bands/jonathan-tyler-the-northern-lights')","('700 concerts', None)","Tyler,Tyler"
"('Bonnie Tyler', '/bands/bonnie-tyler')","('123 concerts', None)","Tyler,Tyler"
"('Tyler Posey', '/bands/tyler-posey')","('25 concerts', None)","Tyler,Tyler"
"('Tyler Bryant', '/bands/tyler-bryant')","('28 concerts', None)","Tyler,Tyler"
"('Tyler Bryant and the Shakedown', '/bands/tyler-bryant-and-the-shakedown')","('23 concerts', None)","Tyler,Tyler"
"('Tyler Boone', '/bands/tyler-boone')","('24 concerts', None)","Tyler,Tyler"
"('Tyler Medeiros', '/bands/tyler-medeiros')","('13 concerts', None)","Tyler,Tyler"
"('Tyler Ramsey', '/bands/tyler-ramsey')","('171 concerts', None)","Tyler,Tyler"
