"('Smells Like Nirvana', '/bands/smells-like-nirvana')","('9 concerts', None)",Nirvana
"('Nirvana UK', '/bands/nirvana-uk')","('55 concerts', None)",Nirvana
"('NIRVANA TRIBUTE', '/bands/nirvana-tribute')","('3 concerts', None)",Nirvana
"('Nirvani: A Nirvana Tribute', '/bands/nirvani-a-nirvana-tribute')","('3 concerts', None)",Nirvana
"('Nervana', '/bands/nervana')","('2 concerts', None)",Nirvana
"('Australian Nirvana', '/bands/australian-nirvana')","('2 concerts', None)",Nirvana
"('Nevermind (Nirvana Tribute)', '/bands/nevermind-nirvana-tribute')","('2 concerts', None)",Nirvana
"('The Australian Nirvana', '/bands/the-australian-nirvana')","('3 concerts', None)",Nirvana
"('Set Your Goals as Nirvana', '/bands/set-your-goals-as-nirvana')","('1 concerts', None)",Nirvana
"('Bleach (nirvana cover band)', '/bands/bleach-nirvana-cover-band')","('1 concerts', None)",Nirvana
"('Hormoaning (Brazilian Nirvana cover band)', '/bands/hormoaning-brazilian-nirvana-cover-band')","('1 concerts', None)",Nirvana
"('Nirvana Unplugged', '/bands/nirvana-unplugged')","('1 concerts', None)",Nirvana
"('Nirvana 2002', '/bands/nirvana-2002')","('1 concerts', None)",Nirvana
"('Hirvana', '/bands/hirvana')","('1 concerts', None)",Nirvana
"('Smells Like Nirvana - A Trib. to Nirvana', '/bands/smells-like-nirvana-a-trib-to-nirvana')","('20 concerts', None)",Nirvana
"('School Of Rock Cleveland West: Nirvana', '/bands/school-of-rock-cleveland-west-nirvana')","('1 concerts', None)",Nirvana
"('The Nirvana Ensemble', '/bands/nirvana-england')","('1 concerts', None)",Nirvana
"('Giedre Dirvanauskaite', '/bands/giedre-dirvanauskaite')","('1 concerts', None)",Nirvana
"('The Nirvana Experience - Trib. to Nirvana', '/bands/the-nirvana-experience-trib-to-nirvana')","('3 concerts', None)",Nirvana
"('Nervana - Trib. to Nirvana', '/bands/nervana-trib-to-nirvana')","('2 concerts', None)",Nirvana
"('Nirvana Mania - Trib. To Nirvana', '/bands/nirvana-mania-trib-to-nirvana')","('1 concerts', None)",Nirvana
"('Nearvana - Trib to Nirvana', '/bands/nearvana-trib-to-nirvana')","('1 concerts', None)",Nirvana
"('Muse', '/bands/muse')","('1,611 concerts', None)",Muse
"('Throwing Muses', '/bands/throwing-muses')","('181 concerts', None)",Muse
"('Museum Mouth', '/bands/museum-mouth')","('74 concerts', None)",Muse
"('David Wax Museum', '/bands/david-wax-museum')","('682 concerts', None)",Muse
"('Museum of Love', '/bands/museum-of-love')","('32 concerts', None)",Muse
"('Amusement Parks On Fire', '/bands/amusement-parks-on-fire')","('80 concerts', None)",Muse
"('Princess Goes to the Butterfly Museum', '/bands/princess-goes-to-the-butterfly-museum')","('19 concerts', None)",Muse
"('Amuse', '/bands/amuse')","('14 concerts', None)",Muse
"('Sleepytime Gorilla Museum', '/bands/sleepytime-gorilla-museum')","('129 concerts', None)",Muse
"(""Deity's Muse"", '/bands/deity-s-muse')","('4 concerts', None)",Muse
"('Museless', '/bands/museless')","('3 concerts', None)",Muse
"('Faith and the Muse', '/bands/faith-and-the-muse')","('30 concerts', None)",Muse
"('For Amusement Only', '/bands/for-amusement-only')","('12 concerts', None)",Muse
"('Kandy Muse', '/bands/kandy-muse')","('4 concerts', None)",Muse
"('Rad Museum', '/bands/rad-museum')","('7 concerts', None)",Muse
"('Museum Pieces', '/bands/museum-pieces')","('4 concerts', None)",Muse
"('Ausecuma Beats', '/bands/ausecuma-beats')","('3 concerts', None)",Muse
"('Mused - Muse Tribute', '/bands/mused-muse-tribute')","('2 concerts', None)",Muse
"('Musee Mecanique', '/bands/musee-mecanique')","('38 concerts', None)",Muse
"('The Muse', '/bands/the-muse')","('2 concerts', None)",Muse
"('Future Museums', '/bands/future-museums')","('4 concerts', None)",Muse
"('Museum', '/bands/museum')","('9 concerts', None)",Muse
"('People Museum', '/bands/people-museum')","('3 concerts', None)",Muse
"('Mitchell Museum', '/bands/mitchell-museum')","('8 concerts', None)",Muse
"('Femme de la Muse', '/bands/femme-de-la-muse')","('1 concerts', None)",Muse
"('Queens of the Stone Age', '/bands/queens-of-the-stone-age--3')","('1,374 concerts', None)",Queen
"('Queen', '/bands/queen')","('1,050 concerts', None)",Queen
"('Queensrÿche', '/bands/queensryche--2')","('1,645 concerts', None)",Queen
"('Queen + Adam Lambert', '/bands/queen-adam-lambert--4')","('266 concerts', None)",Queen
"('Christine and the Queens', '/bands/christine-and-the-queens')","('209 concerts', None)",Queen
"('Baby Queen', '/bands/baby-queen')","('95 concerts', None)",Queen
"('I Killed The Prom Queen', '/bands/i-killed-the-prom-queen--3')","('318 concerts', None)",Queen
"('Queensryche', '/bands/queensryche--5')","('265 concerts', None)",Queen
"('Queen of Jeans', '/bands/queen-of-jeans')","('131 concerts', None)",Queen
"('Queen Zee', '/bands/queen-zee')","('55 concerts', None)",Queen
"('Scene Queen', '/bands/scene-queen')","('47 concerts', None)",Queen
"('The Good, The Bad And The Queen', '/bands/the-good-the-bad-and-the-queen')","('34 concerts', None)",Queen
"('Queen + Paul Rodgers', '/bands/queen-paul-rodgers--2')","('86 concerts', None)",Queen
"('Queen Kwong', '/bands/queen-kwong')","('67 concerts', None)",Queen
"('Queen Latifah', '/bands/queen-latifah')","('109 concerts', None)",Queen
"('Prima Queen', '/bands/prima-queen')","('41 concerts', None)",Queen
"('Pillow Queens', '/bands/pillow-queens')","('57 concerts', None)",Queen
"('Queen Naija', '/bands/queen-naija')","('60 concerts', None)",Queen
"('Queen Adreena', '/bands/queen-adreena')","('36 concerts', None)",Queen
"('Queensway', '/bands/queensway')","('38 concerts', None)",Queen
"('Bob the Drag Queen', '/bands/bob-the-drag-queen')","('48 concerts', None)",Queen
"('The Black Queen', '/bands/the-black-queen')","('52 concerts', None)",Queen
"('Queen Millz', '/bands/queen-millz')","('4 concerts', None)",Queen
"('The Good, the Bad & the Queen', '/bands/the-good-the-bad-the-queen--2')","('21 concerts', None)",Queen
"('Queen Mill', '/bands/queen-mill')","('1 concerts', None)",Queen
"('Foo Fighters', '/bands/foo-fighters--3')","('1,552 concerts', None)",Foo Fighters
"('UK Foo Fighters', '/bands/uk-foo-fighters')","('15 concerts', None)",Foo Fighters
