,artist,search_result,page_url,concert_count,l_score,rank
1325,The Head and the Heart,The Head and the Heart,bands/the-head-and-the-heart--2,919,0,1.0
1329,Gary Moore,Gary Moore,bands/gary-moore,239,0,1.0
1350,Funeral for a Friend,Funeral for a Friend,bands/funeral-for-a-friend--3,736,0,1.0
1351,The Weepies,The Weepies,bands/the-weepies,235,0,1.0
1352,The Rakes,The Rakes,bands/the-rakes,215,0,1.0
1365,Donavon Frankenreiter,Donavon Frankenreiter,bands/donavon-frankenreiter,1339,0,1.0
1368,Pennywise,Pennywise,bands/pennywise,1172,0,1.0
1376,Mystery Jets,Mystery Jets,bands/mystery-jets,404,0,1.0
1381,Neon Indian,Neon Indian,bands/neon-indian,427,0,1.0
1383,The Alan Parsons Project,The Alan Parsons Project,bands/the-alan-parsons-project,14,0,1.0
1385,Spandau Ballet,Spandau Ballet,bands/spandau-ballet,139,0,1.0
1388,Yo Gotti,Yo Gotti,bands/yo-gotti,393,0,1.0
1390,MC Hammer,MC Hammer,bands/mc-hammer,168,0,1.0
1391,Okkervil River,Okkervil River,bands/okkervil-river,665,0,1.0
1409,Jimmy Cliff,Jimmy Cliff,bands/jimmy-cliff,365,0,1.0
1440,Juelz Santana,Juelz Santana,bands/juelz-santana,69,0,1.0
1441,Sugar Ray,Sugar Ray,bands/sugar-ray,625,0,1.0
1454,Buena Vista Social Club,Buena Vista Social Club,bands/buena-vista-social-club,95,0,1.0
1459,4 Non Blondes,4 Non Blondes,bands/4-non-blondes--2,27,0,1.0
1460,Dierks Bentley,Dierks Bentley,bands/dierks-bentley,1778,0,1.0
1463,Sevendust,Sevendust,bands/sevendust,1855,0,1.0
1469,Panda Bear,Panda Bear,bands/panda-bear,194,0,1.0
1473,Cocteau Twins,Cocteau Twins,bands/cocteau-twins--2,61,0,1.0
1474,Them Crooked Vultures,Them Crooked Vultures,bands/them-crooked-vultures,78,0,1.0
1500,Toro y Moi,Toro Y Moi,bands/toro-y-moi,605,1,1.0
1503,Diplo,Diplo,bands/diplo,1314,0,1.0
1528,Rachael Yamagata,Rachael Yamagata,bands/rachael-yamagata,571,0,1.0
1530,The Raveonettes,The Raveonettes,bands/the-raveonettes,515,0,1.0
1531,Best Coast,Best Coast,bands/best-coast,593,0,1.0
1534,The Avett Brothers,The Avett Brothers,bands/the-avett-brothers,1573,0,1.0
1556,Boys Noize,Boys Noize,bands/boys-noize,595,0,1.0
1561,Godspeed You! Black Emperor,Godspeed You! Black Emperor,bands/godspeed-you-black-emperor,764,0,1.0
1563,Death in Vegas,Death In Vegas,bands/death-in-vegas,91,1,1.0
1564,Blue Foundation,Blue Foundation,bands/blue-foundation,11,0,1.0
1570,Less Than Jake,Less Than Jake,bands/less-than-jake--3,2028,0,1.0
1578,Manchester Orchestra,Manchester Orchestra,bands/manchester-orchestra,974,0,1.0
1581,Janelle Monáe,Janelle Monáe,bands/janelle-monae--2,464,0,1.0
1585,Helloween,Helloween,bands/helloween,470,0,1.0
1610,We the Kings,We The Kings,bands/we-the-kings--6,1213,1,1.0
1627,The Zutons,The Zutons,bands/the-zutons,247,0,1.0
1628,Fear Factory,Fear Factory,bands/fear-factory,1081,0,1.0
1632,Arch Enemy,Arch Enemy,bands/arch-enemy,939,0,1.0
1689,Matt Costa,Matt Costa,bands/matt-costa,549,0,1.0
1692,Nazareth,Nazareth,bands/nazareth,649,0,1.0
1714,Felix Mendelssohn,Felix Mendelssohn,bands/felix-mendelssohn,4,0,1.0
1715,The Civil Wars,The Civil Wars,bands/the-civil-wars,260,0,1.0
1718,Young Buck,Young Buck,bands/young-buck,36,0,1.0
1721,Gogol Bordello,Gogol Bordello,bands/gogol-bordello,1363,0,1.0
1725,Jessica Simpson,Jessica Simpson,bands/jessica-simpson,171,0,1.0
1728,Luke Bryan,Luke Bryan,bands/luke-bryan,1426,0,1.0
1729,Alan Jackson,Alan Jackson,bands/alan-jackson,1057,0,1.0
1730,You Me at Six,You Me At Six,bands/you-me-at-six,983,1,1.0
1734,Crystal Fighters,Crystal Fighters,bands/crystal-fighters,350,0,1.0
1736,Faith Hill,Faith Hill,bands/faith-hill,443,0,1.0
1739,Rob Thomas,Rob Thomas,bands/rob-thomas,542,0,1.0
1750,Warpaint,Warpaint,bands/warpaint,648,0,1.0
1753,Danzig,Danzig,bands/danzig,634,0,1.0
1821,Rick Astley,Rick Astley,bands/rick-astley,377,0,1.0
1841,2 Chainz,2 Chainz,bands/2-chainz,613,0,1.0
1846,Augustana,Augustana,bands/augustana,709,0,1.0
1852,Black Label Society,Black Label Society,bands/black-label-society,1237,0,1.0
1859,The Pharcyde,The Pharcyde,bands/the-pharcyde,310,0,1.0
1863,Meek Mill,Meek Mill,bands/meek-mill,360,0,1.0
1869,Little Richard,Little Richard,bands/little-richard,173,0,1.0
1872,Canned Heat,Canned Heat,bands/canned-heat--2,533,0,1.0
1901,Patrick Wolf,Patrick Wolf,bands/patrick-wolf,343,0,1.0
1905,Blind Guardian,Blind Guardian,bands/blind-guardian,367,0,1.0
1906,Marcy Playground,Marcy Playground,bands/marcy-playground,370,0,1.0
1909,Vertical Horizon,Vertical Horizon,bands/vertical-horizon,458,0,1.0
1910,Skunk Anansie,Skunk Anansie,bands/skunk-anansie,438,0,1.0
1911,Joanna Newsom,Joanna Newsom,bands/joanna-newsom,241,0,1.0
1921,Band of Skulls,Band of Skulls,bands/band-of-skulls,538,0,1.0
1922,Alexisonfire,Alexisonfire,bands/alexisonfire,819,0,1.0
1924,Saosin,Saosin,bands/saosin,841,0,1.0
1951,Andrea Bocelli,Andrea Bocelli,bands/andrea-bocelli,567,0,1.0
1954,Fischerspooner,Fischerspooner,bands/fischerspooner,153,0,1.0
1957,Trentemøller,Trentemøller,bands/trentemoller--2,256,0,1.0
1985,Fountains of Wayne,Fountains of Wayne,bands/fountains-of-wayne,480,0,1.0
1991,Miranda Lambert,Miranda Lambert,bands/miranda-lambert,1267,0,1.0
2017,Peter Tosh,Peter Tosh,bands/peter-tosh-c7f46c48-51c2-44ef-9e99-404510fec066,47,0,1.0
2020,Uriah Heep,Uriah Heep,bands/uriah-heep,1057,0,1.0
2035,Calexico,Calexico,bands/calexico,882,0,1.0
2042,Joseph Haydn,Joseph Haydn,bands/joseph-haydn,2,0,1.0
2043,Huey Lewis and the News,Huey Lewis and The News,bands/huey-lewis-the-news,1495,1,1.0
2044,KC and the Sunshine Band,KC and the Sunshine Band,bands/kc-and-the-sunshine-band--2,136,0,1.0
2045,Carole King,Carole King,bands/carole-king,179,0,1.0
2058,Social Distortion,Social Distortion,bands/social-distortion,1413,0,1.0
2066,Box Car Racer,Box Car Racer,bands/box-car-racer,29,0,1.0
2067,Enter Shikari,Enter Shikari,bands/enter-shikari,1500,0,1.0
2073,Cults,Cults,bands/cults,477,0,1.0
2098,Status Quo,Status Quo,bands/status-quo--2,1262,0,1.0
2108,Temple of the Dog,Temple Of The Dog,bands/temple-of-the-dog,14,2,1.0
2110,Chingy,Chingy,bands/chingy--2,139,0,1.0
2130,DJ Fresh,DJ Fresh,bands/dj-fresh,295,0,1.0
2182,Shiny Toy Guns,Shiny Toy Guns,bands/shiny-toy-guns,487,0,1.0
2186,Kosheen,Kosheen,bands/kosheen,93,0,1.0
2189,Extreme,extreme,bands/extreme,369,1,1.0
2214,Slightly Stoopid,Slightly Stoopid,bands/slightly-stoopid,1367,0,1.0
2241,Steve Aoki,Steve Aoki,bands/steve-aoki,1823,0,1.0
2250,Millencolin,Millencolin,bands/millencolin,532,0,1.0
2305,Yung Joc,Yung Joc,bands/yung-joc,93,0,1.0
2306,Soulfly,Soulfly,bands/soulfly,1481,0,1.0
2313,Mark Knopfler,Mark Knopfler,bands/mark-knopfler,667,0,1.0
2321,Ghostface Killah,Ghostface Killah,bands/ghostface-killah,548,0,1.0
2326,Real Estate,Real Estate,bands/real-estate,717,0,1.0
2329,Dave Brubeck,Dave Brubeck,bands/dave-brubeck--2,45,0,1.0
2333,SBTRKT,SBTRKT,bands/sbtrkt,402,0,1.0
2336,Meghan Trainor,Meghan Trainor,bands/meghan-trainor,187,0,1.0
2339,Richard Wagner,Richard Wagner,bands/richard-wagner,2,0,1.0
2341,Sonata Arctica,Sonata Arctica,bands/sonata-arctica,660,0,1.0
2360,The Miracles,The Miracles,bands/the-miracles,53,0,1.0
2376,The Bird and the Bee,The Bird and the Bee,bands/the-bird-and-the-bee--2,101,0,1.0
2377,Alabama Shakes,Alabama Shakes,bands/alabama-shakes,447,0,1.0
2381,Westlife,Westlife,bands/westlife,480,0,1.0
2382,Grandaddy,Grandaddy,bands/grandaddy,218,0,1.0
2385,Manowar,Manowar,bands/manowar,179,0,1.0
2389,The Bloody Beetroots,The Bloody Beetroots,bands/the-bloody-beetroots,333,0,1.0
2396,The Proclaimers,The Proclaimers,bands/the-proclaimers,583,0,1.0
2423,DJ Snake,DJ Snake,bands/dj-snake,555,0,1.0
2429,Warren G,Warren G,bands/warren-g,354,0,1.0
2453,The Pointer Sisters,The Pointer Sisters,bands/the-pointer-sisters,129,0,1.0
2454,Sky Ferreira,Sky Ferreira,bands/sky-ferreira,153,0,1.0
2455,New Radicals,New Radicals,bands/new-radicals,3,0,1.0
2457,A Flock of Seagulls,A Flock of Seagulls,bands/a-flock-of-seagulls,463,0,1.0
