concert_date,concert_set_name,venue_name,venue_location,artist_name (foreign_key)
"Apr 14, 2017 –Apr 16, 2017",Coachella 2017 Kendrick Lamar / Lady Gaga / Radiohead / Future / Lorde / Travis Scott / The xx / Bastille / Bon Iver / DJ Khaled / Gucci Mane / Two Door Cinema Club / Martin Garrix / DJ Snake / Lil Uzi Vert / Tove Lo / ScHoolboy Q / Marshmello / Kehlani / Mac Miller / Grouplove / Empire of the Sun / Tory Lanez / New Order / Mac DeMarco / Glass Animals / Galantis / Justice / Bonobo / The Head and the Heart / Hans Zimmer / Local Natives / Phantogram / BANKS / Capital Cities / Little Dragon / Crystal Castles / Oh Wonder / NAV / GoldLink / Shelley FKA DRAM / Röyksopp / Skepta / Stormzy / Kaytranada / Dillon Francis / Porter Robinson / Mura Masa / Father John Misty / Denzel Curry / Sampha / Kiiara / DJ Shadow / Kaleo / Real Estate / Four Tet / Future Islands / Thundercat / Majid Jordan / Tycho / Devendra Banhart / Warpaint / Broods / HONNE / Madeon / Bishop Briggs / Gryffin / Mitski / NAO / The Avalanches / What So Not / Nicolas Jaar / Raury / Steve Angello / Moderat / Kungs / King Gizzard & The Lizard Wizard / Breakbot / SOHN / Jack Garratt / Tennis / Big Gigantic / Francis and the Lights / Sofi Tukker / Car Seat Headrest / Toots & The Maytals / Whitney / Jai Wolf / Blossoms / Róisín Murphy / Allah-Las / Pond / Tourist / Classixx / Bicep / Nora en Pure / Sasha / Floating Points / Surf Curse / Solomun / Shura / Jagwar Ma / Guided By Voices / twin peaks / Maya Jane Coles / Autograf / Pnl / Lee Fields & The Expressions / Arkells / Ezra Furman / SNBRN / Hot Since 82 / Chicano Batman / Hinds / Tale of Us / Anna Lunoe / The Interrupters / Shannon and The Clams / Preoccupations / Brodinski / Sam Gellaitry / Daphni / Joseph / The Lemon Twigs / Richie Hawtin / Patrick Topping / Grace Mitchell / Preservation Hall Jazz Band / Hannah Wants / Caveman / T.S.O.L. / Loco Dice / Eli & Fur / Dixon / The Martinez Brothers / Slow Hollows / S U R V I V E / Klangstof / Show Me The Body / Tacocat / Honey Dijon / Marcel Dettmann / Red Axes / Floorplan / Porter Robinson & Madeon / Banks & Steelz / Swet Shop Boys / Downtown Boys / DREAMCAR / Ben UFO / Las Ligas Menores / Surfbort / DIAMANTE ELECTRICO / Thee Commons / Los Blenders / Zipper Club / The Paranoyds / Tall Juan / Atomics / QUITAPENAS / The Belleville Three / Dudu Tassa & The Kuwaitis / Jonnie King / Jen Ferrer / Alison Swing / Chris Cruse Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Apr 14, 2017 –Apr 16, 2017",Coachella 2017 Kendrick Lamar / Lady Gaga / Radiohead / Future / Travis Scott / Lorde / The xx / Bastille / Bon Iver / DJ Khaled / Gucci Mane / Lil Uzi Vert / Martin Garrix / Two Door Cinema Club / DJ Snake / Tove Lo / ScHoolboy Q / Marshmello / Kehlani / Tory Lanez / Mac DeMarco / Grouplove / Mac Miller / Glass Animals / Empire of the Sun / New Order / Hans Zimmer / Bonobo / Galantis / Justice / The Head and the Heart / Phantogram / Local Natives / Crystal Castles / BANKS / Capital Cities / Little Dragon / NAV / Stormzy / Kaytranada / GoldLink / Oh Wonder / Röyksopp / Skepta / Shelley FKA DRAM / Mitski / Dillon Francis / Denzel Curry / Father John Misty / Mura Masa / Porter Robinson / Thundercat / Kaleo / Sampha / Kiiara / DJ Shadow / Four Tet / Future Islands / Real Estate / Majid Jordan / Tycho / Devendra Banhart / Warpaint / Broods / HONNE / Madeon / Bishop Briggs / Gryffin / The Avalanches / NAO / King Gizzard & the Lizard Wizard / Moderat / Kungs / What So Not / Nicolas Jaar / Sofi Tukker / Car Seat Headrest / Steve Angello / Raury / Breakbot / Tennis / SOHN / Jack Garratt / Big Gigantic / Francis and the Lights / Toots & The Maytals / Blossoms / Whitney / Jai Wolf / Surf Curse / Róisín Murphy / Bicep / Allah-Las / Pnl / Pond / Tourist / Nora en Pure / Floating Points / Classixx / Solomun / Sasha / Shura / Guided By Voices / twin peaks / Jagwar Ma / Maya Jane Coles / Autograf / Lee Fields & The Expressions / Ezra Furman / Arkells / Chicano Batman / Hot Since 82 / SNBRN / Tale of Us / Hinds / The Interrupters / Anna Lunoe / Sam Gellaitry / Daphni / Shannon and The Clams / Preoccupations / Joseph / Brodinski / The Lemon Twigs / Richie Hawtin / Patrick Topping / Preservation Hall Jazz Band / Hannah Wants / Grace Mitchell / Eli & Fur / T.S.O.L. / Loco Dice / Caveman / Dixon / The Martinez Brothers / Show Me The Body / Honey Dijon / Slow Hollows / S U R V I V E / Klangstof / Tacocat / Red Axes / Marcel Dettmann / Floorplan / Porter Robinson & Madeon / Banks & Steelz / Swet Shop Boys / Downtown Boys / DREAMCAR / Las Ligas Menores / DIAMANTE ELECTRICO / Ben UFO / Surfbort / Los Blenders / Thee Commons / The Paranoyds / Zipper Club / Tall Juan / Atomics / QUITAPENAS / The Belleville Three / Dudu Tassa & The Kuwaitis / Jonnie King / Jen Ferrer / Alison Swing / Chris Cruse Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Apr 14, 2017 –Apr 16, 2017",Coachella 2017 Kendrick Lamar / Lady Gaga / Radiohead / Future / Travis Scott / Lorde / The xx / Bastille / Bon Iver / DJ Khaled / Gucci Mane / Lil Uzi Vert / Martin Garrix / Two Door Cinema Club / DJ Snake / Tove Lo / ScHoolboy Q / Marshmello / Kehlani / Tory Lanez / Mac DeMarco / Grouplove / Mac Miller / Glass Animals / Empire of the Sun / New Order / Hans Zimmer / Bonobo / Galantis / Justice / The Head and the Heart / Phantogram / Local Natives / Crystal Castles / BANKS / Capital Cities / Little Dragon / NAV / Stormzy / Kaytranada / GoldLink / Oh Wonder / Röyksopp / Skepta / Shelley FKA DRAM / Mitski / Dillon Francis / Denzel Curry / Father John Misty / Mura Masa / Porter Robinson / Thundercat / Kaleo / Sampha / Kiiara / DJ Shadow / Four Tet / Future Islands / Real Estate / Majid Jordan / Tycho / Devendra Banhart / Warpaint / Broods / HONNE / Madeon / Bishop Briggs / Gryffin / The Avalanches / NAO / King Gizzard & the Lizard Wizard / Moderat / Kungs / What So Not / Nicolas Jaar / Sofi Tukker / Car Seat Headrest / Steve Angello / Raury / Breakbot / Tennis / SOHN / Jack Garratt / Big Gigantic / Francis and the Lights / Toots & The Maytals / Blossoms / Whitney / Jai Wolf / Róisín Murphy / Surf Curse / Bicep / Allah-Las / Pnl / Pond / Tourist / Nora en Pure / Floating Points / Classixx / Solomun / Sasha / Shura / Guided By Voices / twin peaks / Jagwar Ma / Maya Jane Coles / Autograf / Lee Fields & The Expressions / Ezra Furman / Arkells / Chicano Batman / Hot Since 82 / SNBRN / Tale of Us / Hinds / The Interrupters / Anna Lunoe / Sam Gellaitry / Daphni / Shannon and The Clams / Preoccupations / Joseph / Brodinski / The Lemon Twigs / Richie Hawtin / Patrick Topping / Preservation Hall Jazz Band / Hannah Wants / Grace Mitchell / Eli & Fur / T.S.O.L. / Loco Dice / Caveman / Dixon / The Martinez Brothers / Show Me The Body / Honey Dijon / Slow Hollows / S U R V I V E / Klangstof / Tacocat / Red Axes / Marcel Dettmann / Floorplan / Porter Robinson & Madeon / Banks & Steelz / Swet Shop Boys / Downtown Boys / DREAMCAR / Las Ligas Menores / DIAMANTE ELECTRICO / Ben UFO / Surfbort / Los Blenders / Thee Commons / The Paranoyds / Zipper Club / Tall Juan / Atomics / QUITAPENAS / The Belleville Three / Dudu Tassa & The Kuwaitis / Jonnie King / Jen Ferrer / Alison Swing / Chris Cruse Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
11-Apr-17,Radiohead  Setlists,Santa Barbara Bowl,"Santa Barbara, California, United States",Rihanna
11-Apr-17,Radiohead / Dudu Tassa & The Kuwaitis  Setlists,Santa Barbara Bowl,"Santa Barbara, California, United States",Rihanna
11-Apr-17,Radiohead  Setlists,Santa Barbara Bowl,"Santa Barbara, California, United States",Rihanna
11-Apr-17,Radiohead  Setlists,Santa Barbara Bowl,"Santa Barbara, California, United States",Rihanna
11-Apr-17,Radiohead  Setlists,Santa Barbara Bowl,"Santa Barbara, California, United States",Rihanna
9-Apr-17,Radiohead  Setlists,Moda Center,"Portland, Oregon, United States",Rihanna
9-Apr-17,Radiohead  Setlists,Moda Center at the Rose Quarter,"Portland, Oregon, United States",Rihanna
