Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
Manu Chao,José-Manuel Thomas Arthur Chao Ortega,1961|6|21,Paris,1984–present,Vocals|guitar|bass|keyboard,Manu Chao,"<p><b>Manu Chao</b> (<small>Spanish pronunciation: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""es-Latn-fonipa"">[ˈmanu ˈtʃao]</span>; born <b>José-Manuel Thomas Arthur Chao</b> on 21 June 1961) is a French-Spanish singer. He sings in French, Spanish, English, Italian, Arabic, Catalan, Galician, Portuguese, Greek, and occasionally in other languages. Chao began his musical career in Paris, busking and playing with groups such as Hot Pants and Los Carayos, which combined a variety of languages and musical styles. With friends and his brother Antoine Chao, he founded the band Mano Negra in 1987, achieving considerable success, particularly in Europe. He became a solo artist after its breakup in 1995 and since then tours regularly with his live band, Radio Bemba.
</p>


",
,,,,,,,,
Paolo Nutini,Paolo Giovanni Nutini,1987|01|09,Paisley,2005–present,"Vocals, guitar, keyboard",Paolo Nutini,"<p class=""mw-empty-elt"">
</p>
<p><b>Paolo Giovanni Nutini</b> (born 9 January 1987) is a Scottish singer, songwriter and musician from Paisley. Nutini's debut album, <i>These Streets</i> (2006), peaked at number three on the UK Albums Chart. Its follow-up, <i>Sunny Side Up</i> (2009), debuted at number one on the UK Albums Chart. Both albums have been certified quintuple platinum by the British Phonographic Industry. Five years later, Nutini released his third studio album, <i>Caustic Love</i>, in April 2014. The album received positive reviews from music critics. <i>Caustic Love</i> debuted at number one on the UK Album Charts and was certified platinum by the BPI in June 2014. In July 2022, he released his fourth album, <i>Last Night in the Bittersweet</i>.
</p><p>Among other accolades, Nutini has received three BRIT Award nominations and an Ivor Novello Award nomination for songwriting. In July 2014, he was referred to by the BBC as ""arguably Scotland's biggest musician right now.""</p>

",
,,,,,,,,
Joe Cocker,John Robert Cocker,1944|05|20,Sheffield,1961–2014,Vocals|harmonica|piano,Joe Cocker,"<p class=""mw-empty-elt"">

</p>

<p><b>John Robert</b> ""<b>Joe</b>"" <b>Cocker</b>  (20 May 1944 – 22 December 2014) was an English singer known for his gritty, bluesy voice and dynamic stage performances that featured expressive body movements.  Most of his best known singles were recordings of songs written by other song writers, though he composed a number of songs for most of his albums as well, often in conjunction with songwriting partner Chris Stainton.</p><p>His first album featured a recording of the Beatles' ""With a Little Help from My Friends"", which brought him to near-instant stardom. The song reached number one in the UK in 1968, became a staple of his many live shows (Woodstock and the Isle of Wight in 1969, the Party at the Palace in 2002) and was also known as the theme song for the late 1980s American TV series <i>The Wonder Years</i>. He continued his success with his second album, which included a second Beatles song: ""She Came In Through the Bathroom Window"". A hastily thrown together 1970 US tour led to the live double-album <i>Mad Dogs &amp; Englishmen</i>, which featured an all-star band organized by Leon Russell.  His 1974 recording of ""You Are So Beautiful"" reached number five in the US, and became his signature song.  Cocker's best selling song was the US number one ""Up Where We Belong"", a duet with Jennifer Warnes that earned a 1983 Grammy Award.  He released a total of 22 studio albums over a 43-year recording career.  
</p><p>In 1993, Cocker was nominated for the Brit Award for Best British Male. He was awarded a bronze Sheffield Legends plaque in his hometown in 2007, and received an OBE the following year for services to music. Cocker was ranked number 97 on <i>Rolling Stone</i><span>'</span>s 100 greatest singers list.</p>",
,,,,,,,,
Gavin DeGraw,Gavin Shane DeGraw,1977|02|04,South Fallsburg,1998–present,Vocals|piano|keyboards|guitar,Gavin DeGraw,"<p><b>Gavin Shane DeGraw</b> (born February 4, 1977) is an American singer-songwriter. DeGraw rose to fame with his song ""I Don't Want to Be"" from his debut album <i>Chariot</i> (2003); the song became the main theme song for The WB drama series <i>One Tree Hill</i>. Other notable singles from his debut album were ""Chariot"" and ""Follow Through"". 
</p><p>His second album, <i>Gavin DeGraw</i>, was released in 2008 and included the top-20 single ""In Love with a Girl"". In 2009, DeGraw released his third album, <i>Free</i>. His fourth album, <i>Sweeter</i> (2011), spawned the hit single ""Not Over You"", along with ""Soldier"" and ""Sweeter"". In 2013, DeGraw released the album <i>Make a Move</i>, while in 2016 he released the album <i>Something Worth Saving</i>.
In 2022, he released <i>Face the River</i> and a documentary on how he made the record and how he dealt with his parents' death.
</p><p>DeGraw's duet with Colbie Caillat on ""We Both Know"" for the 2013 film <i>Safe Haven</i> received a Grammy Award nomination.
</p>",
,,,,,,,,
Brian Eno,Brian Peter George Eno,1948|5|15,Melton,1970–present,"* Keyboards
* vocals
* guitar
* bass guitar",Brian Eno,"<p class=""mw-empty-elt"">

</p>

<p><b>Brian Peter George St John le Baptiste de la Salle Eno</b>  (<span></span>; born <b>Brian Peter George Eno</b>, 15 May 1948) is a British musician, composer, record producer and visual artist best known for his contributions to ambient music and work in rock, pop and electronica. A self-described ""non-musician"", Eno has helped introduce unconventional concepts and approaches to contemporary music. He has been described as one of popular music's most influential and innovative figures.</p><p>Born in Suffolk, Eno studied painting and experimental music at the art school of Ipswich Civic College in the mid 1960s, and then at Winchester School of Art. He joined glam rock group Roxy Music as its synthesiser player in 1971, recording two albums with the group before departing in 1973. Eno then released a number of solo pop albums beginning with <i>Here Come the Warm Jets</i> (1974) and, also in the mid-1970s, began exploring a minimalist direction on influential recordings such as <i>Discreet Music</i> (1975) and <i>Ambient 1: Music for Airports</i> (1978), coining the term ""ambient music"" with the latter.
</p><p>Alongside his solo work, Eno collaborated frequently with other musicians in the 1970s, including Robert Fripp, Harmonia, Cluster, Harold Budd, David Bowie, David Byrne and Judy Nylon. He also established himself as a sought-after producer, working on albums by John Cale, Jon Hassell, Laraaji, Talking Heads, Ultravox, and Devo, as well as the no wave compilation <i>No New York</i> (1978). In subsequent decades, Eno continued to record solo albums and produce for other artists, most prominently U2 and Coldplay, alongside work with artists such as Daniel Lanois, Laurie Anderson, Grace Jones, Slowdive, Karl Hyde, James, Kevin Shields, and Damon Albarn.
</p><p>Dating back to his time as a student, Eno has also worked in other media, including sound installations, film, and writing. In the mid-1970s, he co-developed Oblique Strategies, a deck of cards featuring aphorisms intended to spur creative thinking. From the 1970s onwards, Eno's installations have included the sails of the Sydney Opera House in 2009 and the Lovell Telescope at Jodrell Bank in 2016. An advocate of a range of humanitarian causes, Eno writes on a variety of subjects and is a founding member of the Long Now Foundation. In 2019, Eno was inducted into the Rock and Roll Hall of Fame as a member of Roxy Music.</p>",
,,,,,,,,
Ennio Morricone,Ennio Morricone,1928|11|10,Rome,1946–2020,Trumpet,Ennio Morricone,"<p class=""mw-empty-elt"">

</p>

<p><b>Ennio Morricone</b>  (<small>Italian: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""it-Latn-fonipa"">[ˈɛnnjo morriˈkoːne]</span>; 10 November 1928 – 6 July 2020) was an Italian composer, orchestrator, conductor, and trumpeter who wrote music in a wide range of styles. With more than 400 scores for cinema and television, as well as more than 100 classical works, Morricone is widely considered one of the most prolific and greatest film composers of all time. His filmography includes more than 70 award-winning films, all Sergio Leone's films since <i>A Fistful of Dollars</i>, all Giuseppe Tornatore's films since <i>Cinema Paradiso</i>, <i>The Battle of Algiers</i>, Dario Argento's <i>Animal Trilogy</i>, <i>1900</i>, <i>Exorcist II</i>, <i>Days of Heaven</i>, several major films in French cinema, in particular the comedy trilogy <i>La Cage aux Folles I</i>, <i>II</i>, <i>III</i> and <i>Le Professionnel</i>, as well as <i>The Thing</i>, <i>Once Upon a Time in America</i>, <i>The Mission</i>, <i>The Untouchables</i>, <i>Mission to Mars</i>, <i>Bugsy</i>, <i>Disclosure</i>, <i>In the Line of Fire</i>, <i>Bulworth</i>, <i>Ripley's Game</i>, and <i>The Hateful Eight</i>. His score to <i>The Good, the Bad and the Ugly</i> (1966) is regarded as one of the most recognizable and influential soundtracks in history. It was inducted into the Grammy Hall of Fame.</p><p>After playing the trumpet in jazz bands in the 1940s, he became a studio arranger for RCA Victor and in 1955 started ghost writing for film and theatre. Throughout his career, he composed music for artists such as Paul Anka, Mina, Milva, Zucchero, and Andrea Bocelli. From 1960 to 1975, Morricone gained international fame for composing music for Westerns and—with an estimated 10 million copies sold—<i>Once Upon a Time in the West</i> is one of the best-selling scores worldwide. From 1966 to 1980, he was a main member of Il Gruppo, one of the first experimental composers collectives, and in 1969 he co-founded Forum Music Village, a prestigious recording studio. From the 1970s, Morricone excelled in Hollywood, composing for prolific American directors such as Don Siegel, Mike Nichols, Brian De Palma, Barry Levinson, Oliver Stone, Warren Beatty, John Carpenter, and Quentin Tarantino. In 1977, he composed the official theme for the 1978 FIFA World Cup. He continued to compose music for European productions, such as <i>Marco Polo</i>, <i>La piovra</i>, <i>Nostromo</i>, <i>Fateless</i>, <i>Karol</i>, and <i>En mai, fais ce qu'il te plait</i>. Morricone's music has been reused in television series, including <i>The Simpsons</i> and <i>The Sopranos</i>, and in many films, including <i>Inglourious Basterds</i> and <i>Django Unchained</i>. He also scored seven Westerns for Sergio Corbucci, Duccio Tessari's <i>Ringo</i> duology and Sergio Sollima's <i>The Big Gundown</i> and <i>Face to Face</i>. Morricone worked extensively for other film genres with directors such as Bernardo Bertolucci, Mauro Bolognini, Giuliano Montaldo, Roland Joffé, Roman Polanski, Henri Verneuil, Mario Bava, Lucio Fulci, Umberto Lenzi, and Pier Paolo Pasolini. His acclaimed soundtrack for <i>The Mission</i> (1986), was certified gold in the United States. The album <i>Yo-Yo Ma Plays Ennio Morricone</i> stayed for 105 weeks on the <i>Billboard</i> Top Classical Albums.</p><p>Morricone's best-known compositions include ""The Ecstasy of Gold"", ""Se telefonando"", ""Man with a Harmonica"", ""Here's to You"", the UK No. 2 single ""Chi Mai"", ""Gabriel's Oboe"", and ""E Più Ti Penso"". In 1971, he received a ""Targa d'Oro"" for worldwide sales of 22 million, and by 2016 Morricone had sold more than 70 million records worldwide. In 2007, he received the Academy Honorary Award ""for his magnificent and multifaceted contributions to the art of film music"". He was nominated for a further six Oscars, and in 2016, received his only competitive Academy Award for his score to Quentin Tarantino's film <i>The Hateful Eight</i>, at the time becoming the oldest person ever to win a competitive Oscar. His other achievements include three Grammy Awards, three Golden Globes, six BAFTAs, ten David di Donatello, eleven Nastro d'Argento, two European Film Awards, the Golden Lion Honorary Award, and the Polar Music Prize in 2010. Morricone influenced many artists from film scoring to other styles and genres, including Hans Zimmer, Danger Mouse, Dire Straits, Muse, Metallica, Fields of the Nephilim, and Radiohead.</p>


",
,,,,,,,,
