Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
,,,,,,,,
Hozier,Andrew John Hozier-Byrne,1990|3|17,Bray,2008–present,,Hozier (musician),"<p class=""mw-empty-elt"">

</p>

<p><b>Andrew John Hozier-Byrne</b> (born 17 March 1990), known mononymously as <b>Hozier</b> (<span></span> <i title=""English pronunciation respelling""><span>HOH</span>-zee-ər</i>), is an Irish musician, singer, and songwriter. His music primarily draws from folk, soul, and blues, often using religious and literary themes. He had his international breakthrough after releasing his debut single ""Take Me to Church"", which has been certified multi-platinum in several countries.
</p><p>Born and raised in County Wicklow, Hozier released his debut EP in 2013, featuring ""Take Me to Church"", which became a rock radio hit in the U.S. and peaked at number two on the <i>Billboard</i> Hot 100. His eponymous debut studio album was released in March 2014 to critical acclaim. It has been certified 6× platinum in Ireland and multi-platinum in several countries. In September 2018, he released an EP titled <i>Nina Cried Power</i> and featured the title track as a single, reaching number one on the <i>Billboard</i> Adult Alternative Songs chart. He released his second album <i>Wasteland, Baby!</i> in March 2019, which debuted atop the Irish Albums Chart and the <i>Billboard</i> 200, and has since been certified gold in the U.S.</p>


",
,,,,,,,,
Duke Ellington,Edward Kennedy Ellington,1899|4|29,Washington,1914–1974,Piano,Duke Ellington,"<p class=""mw-empty-elt"">
</p>

<p><b>Edward Kennedy</b> ""<b>Duke</b>"" <b>Ellington</b> (April 29, 1899 – May 24, 1974) was an American jazz pianist, composer, and leader of his eponymous jazz orchestra from 1923 through the rest of his life.</p><p>Born and raised in Washington, D.C., Ellington was based in New York City from the mid-1920s and gained a national profile through his orchestra's appearances at the Cotton Club in Harlem. A master at writing miniatures for the three-minute 78 rpm recording format, Ellington wrote or collaborated on more than one thousand compositions; his extensive body of work is the largest recorded personal jazz legacy, and many of his pieces have become standards. He also recorded songs written by his bandsmen, such as Juan Tizol's ""Caravan"", which brought a Spanish tinge to big band jazz.
</p><p>At the end of the 1930s, Ellington began a nearly thirty-year collaboration with composer-arranger-pianist Billy Strayhorn, whom he called his writing and arranging companion. With Strayhorn, he composed multiple extended compositions, or suites, as well as many short pieces. For a few years at the beginning of Strayhorn's involvement, Ellington's orchestra featured bassist Jimmy Blanton and tenor saxophonist Ben Webster and reached a creative peak. Some years later following a low-profile period (Hodges temporarily left), an appearance by Ellington and his orchestra at the Newport Jazz Festival in July 1956 led to a major revival and regular world tours. Ellington recorded for most American record companies of his era, performed in and scored several films, and composed a handful of stage musicals.
</p><p>Although a pivotal figure in the history of jazz, in the opinion of Gunther Schuller and Barry Kernfeld, ""the most significant composer of the genre"", Ellington himself embraced the phrase ""beyond category"", considering it a liberating principle, and referring to his music as part of the more general category of American Music. Ellington was known for his inventive use of the orchestra, or big band, as well as for his eloquence and charisma. He was awarded a posthumous Pulitzer Prize Special Award for music in 1999.</p>


",
,,,,,,,,
Katie Melua,Ketevan Melua,1984|9|16,Kutaisi,2000–present,,Katie Melua,"<p class=""mw-empty-elt"">


</p>

<p><b>Ketevan <span>""</span>Katie<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r886047488""><span>""</span> Melua</b> (<span></span>; Georgian: <span title=""Georgian-language text""><span lang=""ka"">ქეთევან ""ქეთი"" მელუა</span></span>, <small>IPA: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""ka-Latn-fonipa"">[kʰɛtʰɛvɑn mɛluɑ]</span>; born 16 September 1984) is a Georgian and British singer and songwriter. She was born in Kutaisi and raised in Belfast and London. Under the management of composer Mike Batt, she is signed to the small Dramatico record label. She made her musical debut in 2003 and within three years, she was the United Kingdom's best-selling female artist as well as Europe's highest selling European female artist.</p><p>In November 2003, Melua released her first album, <i>Call Off the Search</i>, which reached the top of the United Kingdom album charts and sold 1.8 million copies in its first five months of release. Her second album, <i>Piece by Piece</i>, was released in September 2005, and to date has gone platinum (one million units sold) four times. She released her third studio album <i>Pictures</i> in October 2007.</p><p>According to the Sunday Times Rich List 2008, Melua had amassed fortune of £18 million, making her the seventh-richest British musician under the age of 30.</p>",
,,,,,,,,
Patti Smith,Patricia Lee Smith,1946|12|30,Chicago,1967–present,"* Vocals
* guitar
* clarinet",Patti Smith,"<p class=""mw-empty-elt"">

</p>

<p><b>Patricia Lee Smith</b> (born December 30, 1946) is an American singer, songwriter, poet, painter, and author who became an influential component of the New York City punk rock movement with her 1975 debut album <i>Horses</i>.</p><p>Called the ""punk poet laureate"", Smith fused rock and poetry in her work. Her most widely known song, ""Because the Night"", co-written with Bruce Springsteen, reached number 13 on the <i>Billboard</i> Hot 100 chart in 1978 and number five on the UK Singles Chart. In 2005, Smith was named a Commander of the <i>Ordre des Arts et des Lettres</i> by the French Ministry of Culture. In 2007, she was inducted into the Rock and Roll Hall of Fame.</p><p>In November 2010, Smith won the National Book Award for her memoir <i>Just Kids</i>. The book fulfilled a promise she made to her former long-time partner Robert Mapplethorpe. She is ranked 47th on <i>Rolling Stone</i> magazine's 100 Greatest Artists of All Time, which was  published in 2010 and was also a recipient of the 2011 Polar Music Prize.
</p>


",
,,,,,,,,
Parov Stelar,Marcus Füreder,1974|11|27,Linz,1998-present,,Parov Stelar,"<p class=""mw-empty-elt"">
</p>
<p><b>Marcus Füreder</b> (born 27 November 1974), better known by his stage name <b>Parov Stelar</b>, is an Austrian musician, composer, producer, DJ and designer. His musical style is based on a combination of jazz, house, electro, hip hop, and pop.
</p>

",
,,,,,,,,
Howard Shore,Howard Leslie Shore,1946|10|18,Toronto,1969–present,"Piano, organ, clarinet, saxophone, flute",Howard Shore,"<p class=""mw-empty-elt"">
</p>

<p><b>Howard Leslie Shore</b>  (born October 18, 1946) is a Canadian composer and conductor noted for his film scores. He has composed the scores for over 80 films, most notably the scores for <i>The Lord of the Rings</i> and <i>The Hobbit</i> film trilogies. He won three Academy Awards for his work on <i>The Lord of the Rings</i>, with one being for the song ""Into the West"", an award he shared with Eurythmics lead vocalist Annie Lennox and writer/producer Fran Walsh, who wrote the lyrics. He is also a consistent collaborator with director David Cronenberg, having scored all but one of his films since 1979.
</p><p>Shore has also composed a few concert works including one opera, <i>The Fly</i>, based on the plot of Cronenberg's 1986 film, which premiered at the Théâtre du Châtelet in Paris on July 2, 2008; a short piece named <i>Fanfare for the Wanamaker Organ and the Philadelphia Orchestra</i>; and a short overture for the Swiss 21st Century Symphony Orchestra. Shore has also composed for television, including serving as the original musical director for the American sketch comedy show <i>Saturday Night Live</i> from 1975 to 1980.
</p><p>In addition to his three Academy Awards, Shore has also won three Golden Globe Awards and four Grammy Awards.
</p>",
,,,,,,,,
Buddy Holly,Charles Hardin Holley,1936|09|07,Lubbock,1952–1959,,Buddy Holly,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>
<p><b>Charles Hardin Holley</b> (September 7, 1936 – February 3, 1959), known as <b>Buddy Holly</b>, was an American singer and songwriter who was a central and pioneering figure of mid-1950s rock and roll. He was born to a musical family in Lubbock, Texas during the Great Depression, and learned to play guitar and sing alongside his siblings. His style was influenced by gospel music, country music, and rhythm and blues acts, which he performed in Lubbock with his friends from high school.
</p><p>He made his first appearance on local television in 1952, and the following year he formed the group ""Buddy and Bob"" with his friend Bob Montgomery. In 1955, after opening for Elvis Presley, he decided to pursue a career in music. He opened for Presley three times that year; his band's style shifted from country and western to entirely rock and roll. In October that year, when he opened for Bill Haley &amp; His Comets, he was spotted by Nashville scout Eddie Crandall, who helped him get a contract with Decca Records.
</p><p>Holly's recording sessions at Decca were produced by Owen Bradley, who had become famous for producing orchestrated country hits for stars like Patsy Cline. Unhappy with Bradley's musical style and control in the studio, Holly went to producer Norman Petty in Clovis, New Mexico, and recorded a demo of ""That'll Be the Day"", among other songs. Petty became the band's manager and sent the demo to Brunswick Records, which released it as a single credited to ""The Crickets"", which became the name of Holly's band. In September 1957, as the band toured, ""That'll Be the Day"" topped the US and UK singles charts. Its success was followed in October by another major hit, ""Peggy Sue"".
</p><p>The album <i>The ""Chirping"" Crickets</i>, released in November 1957, reached number five on the UK Albums Chart. Holly made his second appearance on <i>The Ed Sullivan Show</i> in January 1958 and soon after toured Australia and then the UK. In early 1959, he assembled a new band, consisting of future country music star Waylon Jennings (bass), famed session musician Tommy Allsup (guitar), and Carl Bunch (drums), and embarked on a tour of the midwestern US. After a show in Clear Lake, Iowa, he chartered an airplane to travel to his next show in Moorhead, Minnesota. Soon after takeoff, the plane crashed, killing Holly, Ritchie Valens, The Big Bopper, and pilot Roger Peterson in a tragedy later referred to by Don McLean as ""The Day the Music Died"" in his song ""American Pie"".
</p><p>During his short career, Holly wrote and recorded many songs. He is often regarded as the artist who defined the traditional rock-and-roll lineup of two guitars, bass, and drums. He was a major influence on later popular music artists, including Bob Dylan, The Beatles, The Rolling Stones, Eric Clapton, The Hollies, Elvis Costello, Dave Edmunds, Marshall Crenshaw, and Elton John. He was among the first artists inducted into the Rock and Roll Hall of Fame, in 1986. <i>Rolling Stone</i> magazine ranked him number 13 in its list of ""100 Greatest Artists"" in 2010.
</p>",
,,,,,,,,
Annie Lennox,Ann Lennox,1954|12|25,Aberdeen,1976–present,,Annie Lennox,"<p class=""mw-empty-elt"">


</p>

<p><b>Ann Lennox</b>  (born 25 December 1954) is a Scottish singer-songwriter, political activist and philanthropist. After achieving moderate success in the late 1970s as part of the new wave band the Tourists, she and fellow musician Dave Stewart went on to achieve international success in the 1980s as Eurythmics. Appearing in the 1983 music video for ""Sweet Dreams (Are Made of This)"" with orange cropped hair and wearing a man's business suit, the BBC states, ""all eyes were on Annie Lennox, the singer whose powerful androgynous look defied the male gaze"". Subsequent hits with Eurythmics include ""There Must Be an Angel (Playing with My Heart)"" and ""Here Comes the Rain Again"".
</p><p>Lennox embarked on a solo career in 1992 with her debut album, <i>Diva</i>, which produced several hit singles including ""Why"" and ""Walking on Broken Glass"". The same year, she performed ""Love Song for a Vampire"" for <i>Bram Stoker's Dracula</i>. Her 1995 studio album, <i>Medusa</i>, includes cover versions of songs such as ""No More 'I Love You's<span>'</span>"" and ""A Whiter Shade of Pale"". To date, she has released six solo studio albums and a compilation album, <i>The Annie Lennox Collection</i> (2009). With eight Brit Awards, which includes being named Best British Female Artist a record six times, Lennox has been named the ""Brits Champion of Champions"". She has also collected four Grammy Awards and an MTV Video Music Award. In 2002, Lennox received a Billboard Century Award; the highest accolade from <i>Billboard</i>. In 2004, she received the Golden Globe and the Academy Award for Best Original Song for ""Into the West"", written for the soundtrack to the feature film <i>The Lord of the Rings: The Return of the King</i>.
</p><p>Lennox's vocal range is contralto. She has been named ""The Greatest White Soul Singer Alive"" by VH1 and one of The 100 Greatest Singers of All Time by <i>Rolling Stone</i>. In 2012, she was rated No. 22 on VH1's 100 Greatest Women in Music. In June 2013 the Official Charts Company called her ""the most successful female British artist in UK music history"". As of June 2008, including her work with Eurythmics, Lennox had sold over 80 million records worldwide. As part of a one-hour symphony of British Music, Lennox performed ""Little Bird"" during the 2012 Summer Olympics closing ceremony in London. At the 2015 Ivor Novello Awards, Lennox was made a fellow of the British Academy of Songwriters, Composers and Authors (The Ivors Academy), the first woman to receive the honour. Lennox and her Eurythmics partner Dave Stewart were inducted into the Songwriters Hall of Fame in 2020, and the duo were inducted into the Rock and Roll Hall of Fame in 2022.</p><p>In addition to her career as a musician, Lennox is also a political and social activist, raising money and awareness for HIV/AIDS as it affects women and children in Africa. She founded the Sing campaign in 2007 and founded a women's empowerment charity called The Circle in 2008. In 2011, Lennox was appointed an OBE by Queen Elizabeth II for her ""tireless charity campaigns and championing of humanitarian causes"". On 4 June 2012, she performed at the Queen's Diamond Jubilee Concert in front of Buckingham Palace. In 2017, Lennox was appointed Glasgow Caledonian University's first female chancellor.</p>",
,,,,,,,,
Coolio,Artis Leon Ivey Jr.,1963|8|1,Monessen,,,Coolio,"<p class=""mw-empty-elt"">
</p>
<p><b>Artis Leon Ivey Jr.</b> (August 1, 1963 – September 28, 2022), known professionally as <b>Coolio</b>, was an American rapper. First rising to fame as a member of the gangsta rap group WC and the Maad Circle, Coolio achieved mainstream success as a solo artist in the mid-to-late 1990s with his albums <i>It Takes a Thief</i> (1994), <i>Gangsta's Paradise</i> (1995), and <i>My Soul</i> (1997).
</p><p>He is best known for his 1995 Grammy Award–winning hit single ""Gangsta's Paradise"", as well as other singles ""Fantastic Voyage"" (1994), ""1, 2, 3, 4 (Sumpin' New)"" (1996), and ""C U When U Get There"" (1997).
</p><p>From 1996 on, Coolio released albums independently, and provided the opening track ""Aw, Here It Goes!"" for the 1996 Nickelodeon television series <i>Kenan &amp; Kel</i>. He created the web series <i>Cookin' with Coolio</i> and released a cookbook.
</p>",
,,,,,,,,
Frank Wilson,,1940|12|5,Houston,1965–2012,Vocals,Frank Wilson (musician),"<p class=""mw-empty-elt"">
</p>

<p><b>Frank Edward Wilson</b> (December 5, 1940 – September 27, 2012) was an American songwriter, singer and record producer for Motown Records.
</p>",
,,,,,,,,
Grimes,Claire Elise Boucher,1988|3|17,Vancouver,2007–present,,Grimes,"<p class=""mw-empty-elt"">

</p>
<p><b>Claire Elise Boucher</b>  (<span></span> <i title=""English pronunciation respelling"">boo-<span>SHAY</span></i>; born March 17, 1988), known professionally as <b>Grimes</b>, is a Canadian musician, singer, songwriter, and record producer. Her early work has been described as extending from ""lo-fi R&amp;B"" to futuristic dance-pop, and has incorporated influences from electronic music, hip hop, and rock. Her lyrics often touch on science fiction and feminist themes. She has released five studio albums.
</p><p>Born and raised in Vancouver (later moving to Montreal), Grimes began releasing music independently in the late 2000s, releasing two albums, <i>Geidi Primes</i> and <i>Halfaxa</i>, in 2010 on Arbutus Records. She subsequently signed with 4AD and rose to prominence with the release of her third studio album, <i>Visions</i>, in 2012. <i>Visions</i> includes the singles ""Genesis"" and ""Oblivion"" and received the Canadian music industry Juno Award for Electronic Album of the Year. Following this, her fourth studio album, <i>Art Angels</i>, was released in 2015 and received critical praise as several publications named it the best album of the year. Her fifth studio album, <i>Miss Anthropocene</i>, was released in 2020.
</p><p>Outside of music, Grimes had a voice role in the 2020 action role-playing video game <i>Cyberpunk 2077</i> and is a judge on the music competition game show <i>Alter Ego</i>.
</p>",
,,,,,,,,
Chris Cornell,Christopher John Boyle,1964|7|20,Seattle,1983–2017,,Chris Cornell,"<p class=""mw-empty-elt"">
</p>
<p><b>Christopher John Cornell</b> (né <b>Boyle</b>; July 20, 1964 – May 18, 2017) was an American singer and musician best known as the lead vocalist, rhythm guitarist, and primary lyricist and songwriter for the rock bands Soundgarden and Audioslave. He also had a solo career and contributed to numerous movie soundtracks. Cornell was also the founder and frontman of Temple of the Dog, a one-off tribute band dedicated to his late friend Andrew Wood.
</p><p>Cornell is considered one of the key figures of the 1990s grunge movement, and is well known for his extensive catalog as a songwriter, his nearly four-octave vocal range, and his powerful vocal belting technique. He released four solo studio albums, <i>Euphoria Morning</i> (1999), <i>Carry On</i> (2007), <i>Scream</i> (2009), and <i>Higher Truth</i> (2015); the live album <i>Songbook</i> (2011); and two compilations, <i>The Roads We Choose</i> (2007) and <i>Chris Cornell</i> (2018), the latter released posthumously. He received a Golden Globe Award nomination for his song ""The Keeper"", which appeared in the 2011 film <i>Machine Gun Preacher</i>, and co-wrote and performed ""You Know My Name"", the theme song to the 2006 James Bond film <i>Casino Royale</i>. His last solo release before his death was the charity single ""The Promise"", written for the ending credits for the 2016 film of the same name.
</p><p>Across his entire catalog, Cornell sold 14.8 million albums, 8.8 million digital songs, and 300 million on-demand audio streams in the U.S. alone, as well as over 30 million records worldwide. He was nominated for 18 Grammy Awards, winning three. He was voted ""Rock's Greatest Singer"" by readers of <i>Guitar World</i>, and ranked No. 4 on the list of ""Heavy Metal's All-Time Top 100 Vocalists"" by <i>Hit Parader</i>, No. 9 on the list of ""Best Lead Singers of All Time"" by <i>Rolling Stone</i>, and No. 12 on MTV's ""22 Greatest Voices in Music"".</p><p>Cornell struggled with depression for most of his life. He was found dead in his Detroit hotel room in the early hours of May 18, 2017, after performing at a Soundgarden concert an hour earlier at the Fox Theatre. His death was ruled a suicide by hanging.</p>

",
,,,,,,,,
Peggy Lee,Norma Deloris Egstrom,1920|05|26,Jamestown,1936–2000,,Peggy Lee,"<p class=""mw-empty-elt"">
</p>
<p><b>Norma Deloris Egstrom</b> (May 26, 1920 – January 21, 2002), known professionally as <b>Peggy Lee</b>, was an American jazz and popular music singer, songwriter, composer, and actress, over a career spanning seven decades. From her beginning as a vocalist on local radio to singing with Benny Goodman's big band, Lee created  a sophisticated persona, writing music for films, acting, and recording conceptual record albums combining poetry and music. Called the ""Queen of American pop music,"" Lee recorded over 1,100 masters and composed over 270 songs.
</p>",
,,,,,,,,
Donna Summer,LaDonna Adrian Gaines,1948|12|31,Boston,1968–2012,,Donna Summer,"<p class=""mw-empty-elt"">
</p>

<p><b>LaDonna Adrian Gaines</b> (December 31, 1948 – May 17, 2012), known professionally as <b>Donna Summer</b>, was an American singer and songwriter. She gained prominence during the disco era of the 1970s and became known as the ""Queen of Disco"", while her music gained a global following.</p><p>Influenced by the counterculture of the 1960s, Summer became the lead singer of a psychedelic rock band named Crow and moved to New York City. In 1968, she joined a German adaptation of the musical <i>Hair</i> in Munich, where she spent several years living, acting, and singing. There, she met music producers Giorgio Moroder and Pete Bellotte, and they went on to record influential disco hits together such as ""Love to Love You Baby"" and ""I Feel Love"", marking Summer's breakthrough into international music markets. Summer returned to the United States in 1976, and more hits such as ""Last Dance"", her version of ""MacArthur Park"", ""Heaven Knows"", ""Hot Stuff"", ""Bad Girls"", ""Dim All the Lights"", ""No More Tears (Enough Is Enough)"" with Barbra Streisand, and ""On the Radio"" followed.
</p><p>Summer amassed a total of 32 chart singles on the US <i>Billboard</i> Hot 100 in her lifetime, including 14 top ten singles and four number one singles. She claimed a top-40 hit every year between 1976 and 1984, and from her first top-ten hit in 1976, to the end of 1982, she had 12 top-ten hits (10 were top-five hits), more than any other act during that time period. She returned to the Hot 100's top five in 1983, and claimed her final top-ten hit in 1989 with ""This Time I Know It's for Real"". She was the first artist to have three consecutive double albums reach the top of the US <i>Billboard</i> 200 chart and charted four number-one singles in the US within a 12-month period. She also charted two number-one singles on the R&amp;B Singles chart in the US and a number-one single in the United Kingdom. Her last Hot 100 hit came in 1999 with ""I Will Go with You (Con te partirò)"". While her fortunes on the Hot 100 waned in subsequent decades, Summer remained a force on the <i>Billboard</i> Dance Club Songs chart throughout her entire career.
</p><p>Summer died on May 17, 2012, from lung cancer, at her home in Naples, Florida. She sold over 100 million records worldwide, making her one of the best-selling music artists of all time. She won five Grammy Awards. In her obituary in <i>The Times</i>, she was described as the ""undisputed queen of the Seventies disco boom"" who reached the status of ""one of the world's leading female singers."" Moroder described Summer's work on the song ""I Feel Love"" as ""really the start of electronic dance"" music. In 2013, Summer was inducted into the Rock and Roll Hall of Fame. In December 2016, <i>Billboard</i> ranked her sixth on its list of the ""Greatest of All Time Top Dance Club Artists"".</p>


",
,,,,,,,,
Philip Glass,,1937|01|31,Baltimore,1964–present,,Philip Glass,"<p class=""mw-empty-elt"">
</p>

<p><b>Philip Glass</b> (born January 31, 1937) is an American composer and pianist. He is widely regarded as one of the most influential composers of the late 20th century.  Glass's work has been associated with minimalism, being built up from repetitive phrases and shifting layers. Glass describes himself as a composer of ""music with repetitive structures"", which he has helped evolve stylistically.</p><p>Glass founded the Philip Glass Ensemble, with which he still performs on keyboards. He has written fifteen operas, numerous chamber operas and musical theatre works, fourteen symphonies, twelve concertos, nine string quartets and various other chamber music, and many film scores. Three of his film scores have been nominated for an Academy Award.
</p>


",
,,,,,,,,
Waka Flocka Flame,Juaquin James Malphurs,1986|5|31,New York City,2008–present,,Waka Flocka Flame,"<p class=""mw-empty-elt"">

</p>

<p><b>Juaquin James Malphurs</b> (born May 31, 1986), known professionally as <b>Waka Flocka Flame</b>, is an American rapper. Signing to 1017 Brick Squad and Warner Bros. Records in 2009, he became a mainstream artist with the release of his singles ""O Let's Do It"", ""Hard in da Paint"", and ""No Hands"" (featuring Roscoe Dash and Wale), with the latter peaking at number 13 on the US <i>Billboard</i> Hot 100. His debut studio album <i>Flockaveli</i> was released in 2010. His second studio album <i>Triple F Life: Friends, Fans &amp; Family</i> was released in 2012 and was preceded by the lead single ""Round of Applause"" (featuring Drake).
</p>",
,,,,,,,,
Chet Baker,Chesney Henry Baker,1929|12|23,Yale,1949–1988,,Chet Baker,"<p class=""mw-empty-elt"">

</p>

<p><b>Chesney Henry</b> ""<b>Chet</b>"" <b>Baker Jr.</b> (December 23, 1929 – May 13, 1988) was an American jazz trumpeter and vocalist. He is known for major innovations in cool jazz that led him to be nicknamed the ""Prince of Cool"".</p><p>Baker earned much attention and critical praise through the 1950s, particularly for albums featuring his vocals: <i>Chet Baker Sings</i> (1954) and <i>It Could Happen to You</i> (1958). Jazz historian Dave Gelly described the promise of Baker's early career as ""James Dean, Sinatra, and Bix, rolled into one"". His well-publicized drug habit also drove his notoriety and fame. Baker was in and out of jail frequently before enjoying a career resurgence in the late 1970s and 1980s.</p>


",
,,,,,,,,
Amon Tobin,Amon Adonai Santos de Araújo Tobin,1972|2|7,Rio de Janeiro,1995–present,,Amon Tobin,"<p class=""mw-empty-elt"">

</p>

<p><b>Amon Adonai Santos de Araújo Tobin</b> (born February 7, 1972), known as <b>Amon Tobin</b> (<span></span>), is a Brazilian electronic musician, composer and producer. He is noted for his unusual methodology in sound design and music production. He has released eight major studio albums under the London-based Ninja Tune record label. He has also released two albums under the alias Two Fingers with collaborator Doubleclick. His latest release, <i>A Living Room (Music from Meow Wolf's Omega Mart)</i>, was released on September 23, 2022.
</p><p>His music has been used in numerous major motion pictures including <i>The Italian Job</i> and <i>21</i>. Tobin has created songs for several independent films, including the 2006 Hungarian film <i>Taxidermia</i>, and had his music used in other independent films, including the 2002 <i>Cannes Palme d'Or–</i>nominated <i>Divine Intervention</i>. A selection of his tracks were featured in commercial bumps on Toonami and in the 2005 anime <i>IGPX</i>, and he produced the musical scores to critically acclaimed video games <i>Tom Clancy's Splinter Cell: Chaos Theory</i> by Ubisoft in 2005, and Sucker Punch's <i>Infamous</i> in 2009.
</p>",
,,,,,,,,
Brandy,Brandy Rayana Norwood,1979|2|11,McComb,1993–present,Vocals,Brandy Norwood,"<p class=""mw-empty-elt"">

</p>
<p><b>Brandy Rayana Norwood</b> (born February 11, 1979), better known mononymously as <b>Brandy</b>, is an American singer, songwriter, record producer, actress and model. She is known for her distinctive sound, characterized by her peculiar timbre, heavy voice-layering, and intricate riffs, which has earned her the title of ""the Vocal Bible"". As of August 2020, she has sold over 40 million records worldwide, with approximately 8.62 million albums sold in the United States alone. Her work has earned her numerous awards and accolades, including a Grammy Award and an American Music Award.
</p><p>Born in McComb, Mississippi, Norwood was raised in Carson, California, beginning her career as a backing vocalist for teen groups. After signing with Atlantic Records in 1993, she released her self-titled debut album the following year, which sold six million copies worldwide. Norwood ventured into acting with the UPN sitcom <i>Moesha</i> (1996–2001), which won her an NAACP Image Award, and resulted in numerous other roles, such as the titular character in the television film <i>Cinderella</i> (1997) and Karla Wilson in the slasher film <i>I Still Know What You Did Last Summer</i> (1998). Her musical breakthrough came with the wildly successful single ""The Boy Is Mine"" (1998), a duet with fellow R&amp;B contemporary Monica, which went on to become one of the best selling female duets of all time and won her the Grammy for Best R&amp;B Vocal by a Duo or Group. In 2002, Norwood starred in the reality series <i>Brandy: Special Delivery</i>, documenting the birth of her daughter. Her third and fourth albums, <i>Full Moon</i> (2002) and <i>Afrodisiac</i> (2004), were released to critical success.
</p><p>Norwood served as a judge on the first season of <i>America's Got Talent</i> before being involved in a heavily publicized car accident in 2006. Norwood's fifth album, <i>Human</i> (2008), was released to positive reviews, although it was a commercial failure. In 2010, she returned to television as a contestant on the eleventh season of <i>Dancing with the Stars</i> and starred in the reality series <i>Brandy &amp; Ray J: A Family Business</i>. She was a series regular in the BET series <i>The Game</i> (2012–2015) and released her sixth album <i>Two Eleven</i> (2012) thereafter, both earning her critical praise. In April 2015, Norwood made her Broadway debut as Roxie Hart in the musical <i>Chicago</i>. She starred in and executive produced a sitcom titled <i>Zoe Ever After</i> on BET which premiered in January 2016. In July 2020, Norwood released her seventh studio album, <i>B7</i>, also her first project as an independent artist, to critical acclaim. In 2021, Norwood starred alongside Naturi Naughton, Eve and Nadine Velazquez in American Broadcasting Company's music drama series <i>Queens</i> to critical acclaim.
</p><p>In June 2022, Norwood announced her major label return after signing with Motown Records under which she is expected to prepare her eighth studio album.</p>


",
,,,,,,,,
Ashlee Simpson,,1984|10|3,Waco,1999–present,Vocals,Ashlee Simpson,"<p class=""mw-empty-elt"">
</p>
<p><b>Ashlee Ross-Naess</b>(<span title=""Name at birth"">née </span> <b>Simpson</b>) (born October 3, 1984) known professionally as <b>Ashlee Simpson</b>, is an American singer and actress. The younger sister of singer and actress Jessica Simpson, she began her career as a back-up dancer for her sister and appeared in television commercials at the age of 15. She later pursued a career as an actress and had a main role on the family drama <i>7th Heaven.</i> She appeared on the reality show <i>Newlyweds: Nick and Jessica</i>, broadcast on MTV between 2003 and 2005, which focused on Ashlee's older sister Jessica and Jessica's then-husband Nick Lachey. While working on her debut studio album, Simpson became the star of a spin-off reality series, <i>The Ashlee Simpson Show</i>, which was broadcast on MTV between 2004 and 2005. Like her sister before her, Simpson became the center of considerable media attention.
</p><p>Her breakout came with her debut single, ""Pieces of Me"", which was released in 2004, became a top-five hit in the United States and topped the <i>Billboard</i> Mainstream Top 40 chart based on radio airplay. The success of the single and her reality show helped propel her debut album, <i>Autobiography,</i> also released in 2004, to the top of the <i>Billboard</i> 200 albums chart. The project sold over five million copies worldwide, making it her most successful album to date. Simpson had a leading role in the film <i>Undiscovered</i> (2005), which became a critical and commercial flop. The failure of the film, along with multiple critically panned performances, led to media scrutiny. Despite that, Simpson's second studio album, <i>I Am Me</i> (2005), debuted atop the <i>Billboard</i> 200, becoming her second album to do so. The album went on to receive a platinum certification from the Recording Industry Association of America (RIAA).
</p><p>Following her appearance as Roxie Hart in the West End production of <i>Chicago,</i> Simpson announced that she had begun working on her third studio album. The album differed from the pop-rock sound of her previous efforts, featuring a dance-pop and 1980s-themed sound. <i>Bittersweet World</i> was released in 2008 to positive critical reception, but it saw a decline in sales. The effort reached number 4 on the <i>Billboard</i> 200. The following year, Simpson joined the main cast of the <i>Melrose Place</i> revamp, which was met with harsh critical reception. Later that year, she made her Broadway debut reprising her role as Roxie Hart in <i>Chicago</i> on Broadway.
</p><p>Simpson announced a fourth studio album that same year. She independently released the single ""Bat for a Heart"" (2012), though it failed to have success. Simpson eventually scrapped the album and focused on her child. Simpson reprised her role as Roxie Hart for the third time in a 2-dates special production in Hollywood Bowl in July 2013 directed by Brooke Shields. In October, Simpson and her husband Evan Ross released their debut extended play (EP) by Ashlee + Evan through Access Records, which was supported by a tour in select cities across North America, and their TV-reality show.</p>


",
,,,,,,,,
